date,sales,store_visitors,promotion_active,product_category
2024-01-01,1520.50,145,1,Electronics
2024-01-02,1340.25,120,0,Electronics
2024-01-03,1410.00,132,0,Electronics
2024-01-04,1580.75,150,1,Electronics
2024-01-05,1720.00,165,1,Electronics
2024-01-06,1980.50,190,1,Electronics
2024-01-07,1850.00,180,1,Electronics
2024-01-08,1290.25,115,0,Electronics
2024-01-09,1320.00,118,0,Electronics
2024-01-10,1405.50,128,0,Electronics
2024-01-11,1460.00,135,0,Electronics
2024-01-12,1680.25,160,1,Electronics
2024-01-13,2050.00,205,1,Electronics
2024-01-14,1920.75,188,1,Electronics
2024-01-15,1310.00,119,0,Electronics
2024-01-16,1345.50,122,0,Electronics
2024-01-17,1420.00,130,0,Electronics
2024-01-18,1490.25,138,0,Electronics
2024-01-19,1710.00,162,1,Electronics
2024-01-20,2100.50,210,1,Electronics
2024-01-21,1950.00,192,1,Electronics
2024-01-22,1280.50,114,0,Electronics
2024-01-23,1350.00,121,0,Electronics
2024-01-24,1430.75,131,0,Electronics
2024-01-25,1510.00,140,0,Electronics
2024-01-26,1740.25,166,1,Electronics
2024-01-27,2150.00,215,1,Electronics
2024-01-28,2010.50,198,1,Electronics
2024-01-29,1330.00,118,0,Electronics
2024-01-30,1370.25,125,0,Electronics
2024-01-31,1460.00,134,0,Electronics
2024-02-01,1490.50,136,0,Electronics
2024-02-02,1750.00,168,1,Electronics
2024-02-03,2180.25,218,1,Electronics
2024-02-04,2040.00,200,1,Electronics
2024-02-05,1350.50,120,0,Electronics
2024-02-06,1390.00,127,0,Electronics
2024-02-07,1475.25,135,0,Electronics
2024-02-08,1530.00,142,0,Electronics
2024-02-09,1780.50,170,1,Electronics
2024-02-10,2220.00,220,1,Electronics
2024-02-11,2080.25,205,1,Electronics
2024-02-12,1380.00,122,0,Electronics
2024-02-13,1420.50,129,0,Electronics
2024-02-14,1650.00,155,1,Electronics
2024-02-15,1560.25,144,0,Electronics
2024-02-16,1810.00,172,1,Electronics
2024-02-17,2250.50,222,1,Electronics
2024-02-18,2110.00,208,1,Electronics
2024-02-19,1400.25,124,0,Electronics
2024-02-20,1445.00,131,0,Electronics
2024-02-21,1520.75,139,0,Electronics
2024-02-22,1590.00,147,0,Electronics
2024-02-23,1840.25,175,1,Electronics
2024-02-24,2290.00,225,1,Electronics
2024-02-25,2150.50,212,1,Electronics
2024-02-26,1420.00,126,0,Electronics
2024-02-27,1465.25,133,0,Electronics
2024-02-28,1540.00,141,0,Electronics
2024-02-29,1610.50,149,0,Electronics
2024-03-01,1870.00,178,1,Electronics
2024-03-02,2330.25,230,1,Electronics
2024-03-03,2190.00,216,1,Electronics
2024-03-04,1450.50,128,0,Electronics
2024-03-05,1490.00,135,0,Electronics
2024-03-06,1570.25,143,0,Electronics
2024-03-07,1640.00,151,0,Electronics
2024-03-08,1910.50,182,1,Electronics
2024-03-09,2370.00,234,1,Electronics
2024-03-10,2230.25,220,1,Electronics
2024-03-11,1480.00,130,0,Electronics
2024-03-12,1520.50,137,0,Electronics
2024-03-13,1600.00,145,0,Electronics
2024-03-14,1670.25,153,0,Electronics
2024-03-15,1950.00,186,1,Electronics
2024-03-16,2410.50,238,1,Electronics
2024-03-17,2270.00,224,1,Electronics
2024-03-18,1510.25,132,0,Electronics
2024-03-19,1555.00,139,0,Electronics
2024-03-20,1635.75,147,0,Electronics
2024-03-21,1705.00,155,0,Electronics
2024-03-22,1990.25,190,1,Electronics
2024-03-23,2460.00,242,1,Electronics
2024-03-24,2320.50,228,1,Electronics
2024-03-25,1540.00,134,0,Electronics
2024-03-26,1585.25,141,0,Electronics
2024-03-27,1665.00,149,0,Electronics
2024-03-28,1735.50,157,0,Electronics
2024-03-29,2025.00,193,1,Electronics
2024-03-30,2505.25,246,1,Electronics
2024-03-31,2365.00,232,1,Electronics
2024-04-01,1570.50,136,0,Electronics
2024-04-02,1615.00,143,0,Electronics
2024-04-03,1695.25,151,0,Electronics
2024-04-04,1765.00,159,0,Electronics
2024-04-05,2060.50,197,1,Electronics
2024-04-06,2550.00,250,1,Electronics
2024-04-07,2410.25,236,1,Electronics
2024-04-08,1600.00,138,0,Electronics
2024-04-09,1645.50,145,0,Electronics
2024-04-10,1725.00,153,0,Electronics
2024-04-11,1795.25,161,0,Electronics
2024-04-12,2095.00,200,1,Electronics
2024-04-13,2595.50,254,1,Electronics
2024-04-14,2455.00,240,1,Electronics
2024-04-15,1630.25,140,0,Electronics
2024-04-16,1675.00,147,0,Electronics
2024-04-17,1755.75,155,0,Electronics
2024-04-18,1825.00,163,0,Electronics
2024-04-19,2130.25,204,1,Electronics
2024-04-20,2640.00,258,1,Electronics
2024-04-21,2500.50,244,1,Electronics
2024-04-22,1660.00,142,0,Electronics
2024-04-23,1705.25,149,0,Electronics
2024-04-24,1785.00,157,0,Electronics
2024-04-25,1855.50,165,0,Electronics
2024-04-26,2165.00,207,1,Electronics
2024-04-27,2685.25,262,1,Electronics
2024-04-28,2545.00,248,1,Electronics
2024-04-29,1690.50,144,0,Electronics
2024-04-30,1735.00,151,0,Electronics
